City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,6.81,93,100,7.72,AR,1676782080
1,kapaa,22.0752,-159.319,24.99,88,75,2.06,US,1676782353
2,cape town,-33.9258,18.4232,19.65,81,0,5.66,ZA,1676782194
3,carauari,-4.8828,-66.8958,22.54,99,82,1.28,BR,1676782396
4,jalingo,8.8833,11.3667,21.07,22,14,2.74,NG,1676782397
5,jingdezhen,29.2947,117.2079,16.22,52,100,2.84,CN,1676782398
6,turukhansk,65.8167,87.9833,-8.04,92,100,3.53,RU,1676782400
7,arona,28.0996,-16.681,13.23,74,20,3.6,ES,1676782400
8,sao joao da barra,-21.6403,-41.0511,24.49,91,90,6.46,BR,1676782401
9,laguna,38.421,-121.4238,11.16,60,0,2.06,US,1676782402
10,rikitea,-23.1203,-134.9692,26.59,76,95,7.55,PF,1676782403
11,hilo,19.7297,-155.09,20.85,95,100,2.06,US,1676782403
12,castro,-24.7911,-50.0119,12.45,96,100,3.87,BR,1676782404
13,new norfolk,-42.7826,147.0587,30.72,20,100,4.02,AU,1676782405
14,mataura,-46.1927,168.8643,15.27,96,98,1.45,NZ,1676782355
15,awbari,26.5921,12.7805,7.24,54,0,3.37,LY,1676782407
16,barrow,71.2906,-156.7887,-22.99,77,100,2.06,US,1676782408
17,kushima,31.4583,131.2333,16.73,74,95,6.42,JP,1676782408
18,busselton,-33.65,115.3333,30.0,38,11,2.64,AU,1676782359
19,puerto ayora,-0.7393,-90.3518,26.97,94,59,2.24,EC,1676782410
20,punta arenas,-53.15,-70.9167,8.06,81,75,8.23,CL,1676782357
21,mount isa,-20.7333,139.5,28.87,58,40,5.14,AU,1676782411
22,raga,8.4596,25.678,18.02,22,32,2.27,SS,1676782412
23,albany,42.6001,-73.9662,0.4,66,55,1.08,US,1676782230
24,nanortalik,60.1432,-45.2371,-4.46,83,100,8.32,GL,1676782414
25,chuy,-33.6971,-53.4616,12.24,61,7,1.11,UY,1676782414
26,vaini,-21.2,-175.2,29.09,84,75,3.09,TO,1676782415
27,port alfred,-33.5906,26.891,20.1,97,81,0.52,ZA,1676782416
28,georgetown,5.4112,100.3354,31.96,62,20,2.57,MY,1676782162
29,san quintin,30.4833,-115.95,13.18,62,0,2.18,MX,1676782417
30,barra,-11.0894,-43.1417,22.52,72,21,1.04,BR,1676782418
31,ribeira grande,38.5167,-28.7,14.87,84,86,4.02,PT,1676782419
32,la ronge,55.1001,-105.2842,-21.86,59,0,3.09,CA,1676782420
33,daro,8.5185,-9.569,16.92,43,28,0.13,GN,1676782421
34,bluff,-46.6,168.3333,15.45,68,71,5.63,NZ,1676782422
35,atuona,-9.8,-139.0333,26.18,76,61,8.52,PF,1676782422
36,upernavik,72.7868,-56.1549,-21.9,88,72,3.99,GL,1676782423
37,faanui,-16.4833,-151.75,28.04,69,6,4.12,PF,1676782424
38,chokurdakh,70.6333,147.9167,-43.4,100,86,0.22,RU,1676782424
39,barabai,-2.5833,115.3833,33.18,51,97,2.06,ID,1676782425
40,thompson,55.7435,-97.8558,-27.91,83,0,2.06,CA,1676782426
41,katangli,51.7102,143.2326,-15.84,90,95,2.35,RU,1676782426
42,tuktoyaktuk,69.4541,-133.0374,-31.0,76,0,5.66,CA,1676782427
43,ilulissat,69.2167,-51.1,-0.99,43,75,8.23,GL,1676782428
44,luderitz,-26.6481,15.1594,15.22,92,0,2.84,NA,1676782429
45,cherskiy,68.75,161.3,-32.57,94,100,1.86,RU,1676782429
46,ust-kuyga,70.0167,135.6,-35.41,99,94,2.64,RU,1676782430
47,rawson,-43.3002,-65.1023,20.0,34,93,5.4,AR,1676782262
48,sooke,48.3746,-123.7276,7.03,95,98,1.7,CA,1676782431
49,qaanaaq,77.484,-69.3632,-20.0,63,98,3.79,GL,1676782431
50,hermanus,-34.4187,19.2345,16.0,83,59,2.39,ZA,1676782432
51,saint-philippe,-21.3585,55.7679,28.77,78,67,4.94,RE,1676782433
52,sitka,57.0531,-135.33,5.94,87,100,2.06,US,1676782433
53,jamestown,42.097,-79.2353,2.06,56,0,4.12,US,1676782189
54,samarai,-10.6167,150.6667,28.76,69,100,4.15,PG,1676782434
55,abalak,58.1286,68.5944,-12.18,93,100,1.43,RU,1676782435
56,mareeba,-17.0,145.4333,24.69,93,79,2.57,AU,1676782435
57,san patricio,28.017,-97.5169,15.91,84,94,2.18,US,1676782436
58,nara,34.6851,135.8049,12.62,93,100,3.79,JP,1676782437
59,yellowknife,62.456,-114.3525,-33.58,75,0,1.54,CA,1676782437
60,bredasdorp,-34.5322,20.0403,17.82,81,63,0.46,ZA,1676782438
61,avera,33.194,-82.5271,2.73,59,5,2.83,US,1676782438
62,talnakh,69.4865,88.3972,-13.77,96,100,4.27,RU,1676782439
63,torbay,47.6666,-52.7314,-9.35,88,20,3.6,CA,1676782440
64,talcahuano,-36.7167,-73.1167,12.82,94,40,3.09,CL,1676782441
65,togur,58.3631,82.8265,-8.04,92,98,4.15,RU,1676782442
66,innisfail,-17.5333,146.0333,27.39,76,99,3.09,AU,1676782443
67,vila velha,-20.3297,-40.2925,24.97,93,40,1.54,BR,1676782444
68,mantua,45.1667,10.7833,6.86,97,99,0.26,IT,1676782445
69,ankazobe,-18.3167,47.1167,21.45,82,80,1.26,MG,1676782446
70,lompoc,34.6391,-120.4579,10.88,72,20,2.68,US,1676782366
71,ponta delgada,37.7333,-25.6667,12.4,76,20,2.57,PT,1676782447
72,ahipara,-35.1667,173.1667,20.8,67,30,1.47,NZ,1676782448
73,vanavara,60.34,102.2797,-15.17,86,93,3.53,RU,1676782449
74,hobart,-42.8794,147.3294,30.92,25,0,7.72,AU,1676782201
75,kodinsk,58.6881,99.1844,-12.8,85,56,2.07,RU,1676782450
76,mamallapuram,12.6264,80.1722,29.47,59,4,2.93,IN,1676782451
77,mayo,38.8876,-76.5119,4.97,72,0,2.57,US,1676782452
78,champerico,14.3,-91.9167,25.19,73,0,1.37,GT,1676782454
79,dicabisagan,17.0818,122.4157,23.67,98,100,3.7,PH,1676782454
80,sao gabriel da cachoeira,-0.1303,-67.0892,22.26,98,100,0.75,BR,1676782456
81,itarema,-2.9248,-39.9167,24.71,89,100,3.96,BR,1676782456
82,ponta do sol,32.6667,-17.1,17.06,64,16,1.75,PT,1676782457
83,kismayo,-0.3582,42.5454,26.19,76,98,7.67,SO,1676782458
84,hualmay,-11.0964,-77.6139,23.74,79,98,3.62,PE,1676782459
85,vestmannaeyjar,63.4427,-20.2734,4.54,80,100,7.29,IS,1676782460
86,le port,-20.9373,55.2919,29.94,71,52,1.11,RE,1676782461
87,pakxan,18.3778,103.6601,29.56,43,69,3.56,LA,1676782462
88,ardahan,41.1087,42.7022,-13.72,93,45,1.52,TR,1676782462
89,prainha,-1.8,-53.48,22.64,98,100,0.77,BR,1676782464
90,shelburne,44.0787,-80.2041,-1.89,92,100,2.91,CA,1676782246
91,erenhot,43.6475,111.9767,-4.09,29,0,5.59,CN,1676782465
92,solnechnyy,50.7214,136.6319,-11.74,82,99,2.0,RU,1676782466
93,nikolskoye,59.7035,30.7861,-5.05,92,100,4.96,RU,1676782467
94,tasiilaq,65.6145,-37.6368,-4.91,87,99,15.54,GL,1676782354
95,arequipa,-16.3989,-71.535,15.15,80,73,0.89,PE,1676782433
96,tiksi,71.6872,128.8694,-30.25,98,43,3.14,RU,1676782469
97,bulgan,48.8125,103.5347,-7.24,66,1,0.41,MN,1676782471
